Ng1/N,Ng2/N,AvgDeg
0.06504065040650407,0.04878048780487805,1.4464285714285714
0.05128205128205128,0.038461538461538464,1.3970588235294117
0.10317460317460317,0.05555555555555555,1.4642857142857142
0.03076923076923077,0.028205128205128206,1.3719512195121952
0.027777777777777776,0.018518518518518517,1.2261904761904763
0.06201550387596899,0.031007751937984496,1.320754716981132
0.04938271604938271,0.04938271604938271,1.391304347826087
0.014184397163120567,0.01773049645390071,1.201834862385321
0.07352941176470588,0.0392156862745098,1.4333333333333333
0.024691358024691357,0.024691358024691357,1.184782608695652
0.03787878787878788,0.03409090909090909,1.3482142857142858
0.057971014492753624,0.03985507246376811,1.4344262295081966
0.03459119496855346,0.03459119496855346,1.5165562913907285
0.04678362573099415,0.04678362573099415,1.3783783783783783
0.03529411764705882,0.03137254901960784,1.2323232323232323
0.026936026936026935,0.02356902356902357,1.2260869565217392
0.041025641025641026,0.03076923076923077,1.3209876543209877
0.032362459546925564,0.032362459546925564,1.2926829268292683
0.03463203463203463,0.03463203463203463,1.396039603960396
0.032407407407407406,0.027777777777777776,1.3296703296703296
0.026041666666666668,0.020833333333333332,1.1142857142857143
0.0639269406392694,0.0684931506849315,1.5818181818181818
0.04504504504504504,0.036036036036036036,1.3186813186813187
0.02702702702702703,0.04054054054054054,1.2093023255813953
0.11475409836065574,0.08196721311475409,1.5789473684210527
0.04040404040404041,0.020202020202020204,1.1408450704225352
